City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Elizabethtown,US,2022-01-28 01:52:48,37.694,-85.8591,36.66,61,100,0.0
1,Waipawa,NZ,2022-01-28 01:56:58,-41.4122,175.5153,64.92,48,32,8.14
2,Kosino,RU,2022-01-28 01:56:58,58.4127,51.2782,1.54,97,95,5.48
3,Kapaa,US,2022-01-28 01:55:04,22.0752,-159.319,80.11,59,11,4.0
4,Asau,RO,2022-01-28 01:56:59,46.4333,26.4,34.72,90,96,7.83
5,Jamestown,US,2022-01-28 01:53:20,42.097,-79.2353,24.71,63,100,8.01
6,Punta Arenas,CL,2022-01-28 01:56:59,-53.15,-70.9167,50.11,87,0,9.22
7,Komsomolskiy,UZ,2022-01-28 01:53:14,40.4272,71.7189,27.82,63,100,4.61
8,Gamba,GA,2022-01-28 01:57:00,-2.65,10.0,76.39,88,92,4.97
9,Mayahi,NE,2022-01-28 01:57:00,13.9553,7.6712,58.37,29,1,12.57
10,Vila Franca Do Campo,PT,2022-01-28 01:57:00,37.7167,-25.4333,55.2,73,98,9.53
11,Atuona,PF,2022-01-28 01:57:01,-9.8,-139.0333,78.24,74,7,16.73
12,Hobart,AU,2022-01-28 01:55:00,-42.8794,147.3294,91.02,58,75,1.99
13,San Vicente,AR,2022-01-28 01:57:01,-26.6167,-54.1333,67.68,89,97,5.93
14,Albany,US,2022-01-28 01:57:02,42.6001,-73.9662,25.99,53,100,3.47
15,Mataura,NZ,2022-01-28 01:57:02,-46.1927,168.8643,67.48,25,100,4.07
16,Kutum,SD,2022-01-28 01:57:03,14.2,24.6667,46.98,24,25,7.74
17,Fortuna,US,2022-01-28 01:57:03,40.5982,-124.1573,50.99,83,0,1.01
18,Hermanus,ZA,2022-01-28 01:57:03,-34.4187,19.2345,63.9,81,2,3.49
19,Kupang,ID,2022-01-28 01:57:04,-10.1667,123.5833,82.98,89,75,9.22
20,Avarua,CK,2022-01-28 01:56:40,-21.2078,-159.775,82.45,83,20,18.41
21,Guruvayur,IN,2022-01-28 01:57:04,10.5943,76.0411,76.24,71,11,11.79
22,Bredasdorp,ZA,2022-01-28 01:57:05,-34.5322,20.0403,62.28,82,0,4.61
23,Sobolevo,RU,2022-01-28 01:57:05,54.4299,31.8996,29.39,97,100,14.97
24,Zhigansk,RU,2022-01-28 01:57:06,66.7697,123.3711,-31.88,100,22,3.74
25,Bluff,NZ,2022-01-28 01:57:06,-46.6,168.3333,67.8,59,100,8.99
26,Molchanovo,RU,2022-01-28 01:57:06,57.5817,83.7692,-9.83,99,100,5.88
27,Bud,US,2022-01-28 01:57:07,39.447,-86.1758,32.02,83,100,5.44
28,Ushuaia,AR,2022-01-28 01:57:07,-54.8,-68.3,49.66,81,75,5.75
29,Kirakira,SB,2022-01-28 01:57:08,-10.4544,161.9205,79.36,87,100,7.14
30,Nasirabad,IN,2022-01-28 01:57:08,26.3,74.7333,47.03,44,0,1.81
31,Xiaoweizhai,CN,2022-01-28 01:57:08,26.1903,107.5125,35.17,95,100,4.92
32,Luanda,AO,2022-01-28 01:57:09,-8.8368,13.2343,77.14,84,100,2.95
33,Marsaxlokk,MT,2022-01-28 01:57:09,35.8419,14.5431,51.08,87,20,6.91
34,Rikitea,PF,2022-01-28 01:57:10,-23.1203,-134.9692,78.67,77,75,16.26
35,Lakes Entrance,AU,2022-01-28 01:57:10,-37.8811,147.981,96.17,53,100,7.23
36,Lerwick,GB,2022-01-28 01:54:42,60.1545,-1.1494,42.8,74,53,12.1
37,Gushikawa,JP,2022-01-28 01:57:10,26.3544,127.8686,70.83,88,61,11.39
38,Thompson,CA,2022-01-28 01:57:11,55.7435,-97.8558,-5.64,71,100,8.05
39,Iqaluit,CA,2022-01-28 01:57:11,63.7506,-68.5145,-11.31,83,100,4.0
40,Wajima,JP,2022-01-28 01:57:12,37.4,136.9,34.48,93,75,2.3
41,East London,ZA,2022-01-28 01:57:12,-33.0153,27.9116,72.18,89,71,15.41
42,Port Alfred,ZA,2022-01-28 01:57:12,-33.5906,26.891,70.54,88,91,14.45
43,Mahibadhoo,MV,2022-01-28 01:57:13,3.7833,72.9667,79.29,52,52,4.27
44,Olafsvik,IS,2022-01-28 01:57:13,64.8945,-23.7142,40.17,97,100,29.64
45,Ostrovnoy,RU,2022-01-28 01:58:14,68.0531,39.5131,16.38,91,100,9.4
46,Ardabil,IR,2022-01-28 01:58:14,38.2498,48.2933,16.39,87,91,3.8
47,Lithgow,AU,2022-01-28 01:58:14,-33.4833,150.15,74.66,51,70,2.04
48,Wladyslawowo,PL,2022-01-28 01:58:15,54.7909,18.4009,38.93,95,100,26.44
49,Vaini,TO,2022-01-28 01:58:15,-21.2,-175.2,82.96,77,21,14.14
50,Port Elizabeth,ZA,2022-01-28 01:58:16,-33.918,25.5701,66.49,88,0,11.5
51,Ponta Delgada,PT,2022-01-28 01:58:16,37.7333,-25.6667,55.51,71,20,4.61
52,Arraial Do Cabo,BR,2022-01-28 01:58:16,-22.9661,-42.0278,80.46,74,0,14.97
53,Palmer,US,2022-01-28 01:54:00,42.1584,-72.3287,22.24,65,75,6.91
54,Pangnirtung,CA,2022-01-28 01:53:47,66.1451,-65.7125,-13.4,86,100,6.49
55,Oxbow,CA,2022-01-28 01:58:17,49.2333,-102.1676,12.15,85,100,5.91
56,San Rafael,AR,2022-01-28 01:58:17,-34.6177,-68.3301,72.73,55,100,4.38
57,Isla Mujeres,MX,2022-01-28 01:58:18,21.2311,-86.731,77.16,83,41,12.82
58,Dikson,RU,2022-01-28 01:58:18,73.5069,80.5464,3.47,94,100,23.42
59,Ahipara,NZ,2022-01-28 01:58:19,-35.1667,173.1667,76.41,48,2,10.87
60,Victoria,HK,2022-01-28 01:55:47,22.2855,114.1577,69.76,91,100,11.01
61,Lingao,CN,2022-01-28 01:58:19,19.9103,109.6859,72.25,81,7,10.09
62,Lavrentiya,RU,2022-01-28 01:58:20,65.5833,-171.0,-11.4,90,23,3.69
63,Cape Town,ZA,2022-01-28 01:58:20,-33.9258,18.4232,65.08,76,20,8.05
64,Hailun,CN,2022-01-28 01:58:20,47.45,126.9333,-4.04,92,93,4.88
65,Pisco,PE,2022-01-28 01:58:21,-13.7,-76.2167,68.05,77,0,19.57
66,Castro,BR,2022-01-28 01:58:21,-24.7911,-50.0119,65.57,98,100,4.38
67,Puerto Ayora,EC,2022-01-28 01:58:22,-0.7393,-90.3518,73.53,84,76,6.76
68,Souillac,MU,2022-01-28 01:58:22,-20.5167,57.5167,73.78,83,40,3.44
69,Sao Joao Da Barra,BR,2022-01-28 01:58:23,-21.6403,-41.0511,75.54,91,1,15.08
70,Saint-Philippe,RE,2022-01-28 01:58:23,-21.3585,55.7679,72.99,83,53,8.39
71,Kodiak,US,2022-01-28 01:58:24,57.79,-152.4072,32.76,98,100,17.22
72,Mount Isa,AU,2022-01-28 01:58:24,-20.7333,139.5,76.77,100,75,10.36
73,Roma,US,2022-01-28 01:58:24,43.2128,-75.4557,28.83,56,100,1.99
74,Vardo,NO,2022-01-28 01:58:25,70.3705,31.1107,26.65,93,100,7.96
75,Chokurdakh,RU,2022-01-28 01:58:25,70.6333,147.9167,-25.46,91,53,9.08
76,Carnarvon,AU,2022-01-28 01:58:26,-24.8667,113.6333,82.47,65,0,4.61
77,Buala,SB,2022-01-28 01:58:26,-8.145,159.5921,81.18,81,99,4.63
78,Faya,SA,2022-01-28 01:58:27,18.3851,42.4509,51.91,85,23,3.18
79,Novosergiyevka,RU,2022-01-28 01:58:27,52.0934,53.6528,11.1,92,100,6.6
80,Naze,JP,2022-01-28 01:58:27,28.3667,129.4833,59.92,78,93,10.8
81,Half Moon Bay,US,2022-01-28 01:58:28,37.4636,-122.4286,62.29,58,0,0.0
82,Maragogi,BR,2022-01-28 01:58:28,-9.0122,-35.2225,77.86,82,80,4.61
83,Cabo San Lucas,MX,2022-01-28 01:58:12,22.8909,-109.9124,71.51,68,15,1.39
84,Yellowknife,CA,2022-01-28 01:58:29,62.456,-114.3525,-7.08,77,75,2.3
85,Vavuniya,LK,2022-01-28 01:58:29,8.7514,80.4971,72.09,83,87,2.77
86,Bani,DO,2022-01-28 01:58:30,18.2833,-70.3333,78.24,82,0,5.19
87,Kemijarvi,FI,2022-01-28 01:58:30,66.7131,27.4306,4.14,100,92,1.81
88,Narsaq,GL,2022-01-28 01:58:31,60.9167,-46.05,-0.69,86,15,6.26
89,Kiama,AU,2022-01-28 01:59:31,-34.6833,150.8667,87.26,63,9,7.0
90,Tuktoyaktuk,CA,2022-01-28 01:59:32,69.4541,-133.0374,-18.4,76,20,11.5
91,Manokwari,ID,2022-01-28 01:59:32,-0.8667,134.0833,83.48,68,92,2.93
92,Damaturu,NG,2022-01-28 01:59:33,11.747,11.9608,58.48,50,0,10.2
93,Sur,OM,2022-01-28 01:59:33,22.5667,59.5289,67.1,50,0,4.41
94,Kahului,US,2022-01-28 01:57:17,20.8947,-156.47,75.97,74,54,8.25
95,Porto Novo,BJ,2022-01-28 01:59:34,6.4965,2.6036,80.42,87,83,2.51
96,Leningradskiy,RU,2022-01-28 01:59:34,69.3833,178.4167,-17.77,95,27,2.75
97,San Carlos De Bariloche,AR,2022-01-28 01:57:39,-41.1456,-71.3082,71.35,43,20,0.0
98,Khatanga,RU,2022-01-28 01:59:35,71.9667,102.5,-1.57,84,67,11.54
99,Todos Santos,MX,2022-01-28 01:59:35,23.45,-110.2167,71.01,72,2,6.85
100,Beni Suef,EG,2022-01-28 01:59:35,29.0731,31.0979,42.62,81,4,1.95
101,Kolokani,ML,2022-01-28 01:59:36,13.5728,-8.0339,69.53,13,0,7.65
102,Ridgecrest,US,2022-01-28 01:59:36,35.6225,-117.6709,56.46,19,0,1.72
103,Upernavik,GL,2022-01-28 01:59:37,72.7868,-56.1549,2.77,91,100,19.53
104,Ningyang,CN,2022-01-28 01:59:37,35.7642,116.7914,35.76,40,100,3.76
105,Sonoita,MX,2022-01-28 01:59:38,31.85,-112.8333,58.53,24,83,10.92
106,Nuuk,GL,2022-01-28 01:59:38,64.1835,-51.7216,4.41,77,100,10.36
107,Kholodnyy,RU,2022-01-28 01:59:38,62.7167,147.95,-3.73,94,100,7.07
108,Barrow,US,2022-01-28 01:59:39,71.2906,-156.7887,-25.26,99,55,10.98
109,Coihaique,CL,2022-01-28 01:59:39,-45.5752,-72.0662,73.35,35,0,5.75
110,Gornoye Loo,RU,2022-01-28 01:59:40,43.7129,39.6049,35.38,86,100,3.0
111,Butaritari,KI,2022-01-28 01:59:40,3.0707,172.7902,82.31,78,2,15.79
112,Sitka,US,2022-01-28 01:59:40,57.0531,-135.33,42.69,75,100,14.97
113,Geraldton,AU,2022-01-28 01:59:41,-28.7667,114.6,91.81,27,0,14.97
114,Mugur-Aksy,RU,2022-01-28 01:59:41,50.35,90.5,-14.96,90,86,5.68
115,Morehead,US,2022-01-28 01:59:42,37.2711,-87.1764,37.15,41,100,0.0
116,Lebyazhye,RU,2022-01-28 01:59:42,55.2689,66.4947,3.49,100,100,3.15
117,New Norfolk,AU,2022-01-28 01:59:42,-42.7826,147.0587,91.65,39,38,1.99
118,Bandarbeyla,SO,2022-01-28 01:59:43,9.4942,50.8122,73.67,67,100,19.66
119,Broager,DK,2022-01-28 01:59:43,54.8874,9.681,41.11,72,75,26.46
120,Busselton,AU,2022-01-28 01:59:44,-33.65,115.3333,76.05,35,0,8.66
121,Banfora,BF,2022-01-28 01:59:11,10.6333,-4.7667,74.73,17,40,3.0
122,Bratsk,RU,2022-01-28 01:59:44,56.1325,101.6142,-10.71,100,99,0.74
123,Cherskiy,RU,2022-01-28 01:59:44,68.75,161.3,-33.99,96,27,2.01
124,Posse,BR,2022-01-28 01:59:45,-14.0931,-46.3694,65.66,90,24,3.58
125,Hithadhoo,MV,2022-01-28 01:59:45,-0.6,73.0833,81.09,69,88,15.55
126,Ponta Do Sol,PT,2022-01-28 01:59:46,32.6667,-17.1,58.01,78,81,3.94
127,Matagami,CA,2022-01-28 01:59:46,49.7502,-77.6328,-9.29,70,40,10.36
128,Grants Pass,US,2022-01-28 01:59:47,42.439,-123.3284,50.58,63,0,1.01
129,Nemuro,JP,2022-01-28 01:59:47,43.3236,145.575,18.03,66,14,8.39
130,Bengkulu,ID,2022-01-28 01:59:47,-3.8004,102.2655,82.0,71,97,1.07
131,Mordovo,RU,2022-01-28 01:59:48,52.0834,40.77,-3.26,100,100,5.7
132,Qaanaaq,GL,2022-01-28 01:59:48,77.484,-69.3632,-10.19,71,30,7.7
133,Kaitangata,NZ,2022-01-28 01:59:49,-46.2817,169.8464,59.94,65,61,7.67
134,Praia,CV,2022-01-28 01:56:30,14.9215,-23.5087,70.34,68,75,23.02
135,Provideniya,RU,2022-01-28 02:00:49,64.3833,-173.3,0.36,71,0,4.47
136,Nikolskoye,RU,2022-01-28 02:00:51,59.7035,30.7861,30.87,96,100,8.1
