City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Busselton,AU,64.09,overcast clouds,-33.65,115.3333,Observatory Guest House
2,Mataura,NZ,72.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
4,Hilo,US,77.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
9,Arraial Do Cabo,BR,74.59,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
11,Waipawa,NZ,71.92,broken clouds,-41.4122,175.5153,Tora Coastal Walk
14,Ponta Do Sol,PT,65.12,clear sky,32.6667,-17.1,Hotel do Campo
17,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
18,Bredasdorp,ZA,69.12,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Port Alfred,ZA,73.4,overcast clouds,-33.5906,26.891,The Halyards Hotel
22,Hermanus,ZA,71.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Avarua,CK,71.65,heavy intensity rain,-21.2078,-159.775,Paradise Inn
25,New Norfolk,AU,72.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
28,Saint George,US,64.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
34,Namibe,AO,73.11,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
36,Saldanha,ZA,65.39,broken clouds,-33.0117,17.9442,Blue Bay Lodge
40,Castro,BR,63.25,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
44,Pauini,BR,74.41,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
45,Esperance,AU,67.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
46,Mamanguape,BR,79.12,few clouds,-6.8386,-35.1261,Cadeia Pública de Mamanguape
48,Praya,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
49,Bubaque,GW,78.1,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
52,East London,ZA,74.66,overcast clouds,-33.0153,27.9116,Tu Casa
63,Doka,SD,72.97,few clouds,13.5167,35.7667,
66,Cidreira,BR,73.76,clear sky,-30.1811,-50.2056,Hotel Castelo
67,Pisco,PE,73.45,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
69,Cape Town,ZA,73.81,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
75,Maragogi,BR,79.07,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
77,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
78,Tabou,CI,79.45,few clouds,4.423,-7.3528,hotêl doufoulougou
79,Hobart,AU,74.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
81,Bluff,NZ,72.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
82,Nampula,MZ,68.09,clear sky,-15.1165,39.2666,BUTIK Hotel
84,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
85,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
86,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
89,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
93,Kailua,US,79.74,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
96,Boende,CD,79.32,overcast clouds,-0.2167,20.8667,
98,Russell,US,60.4,clear sky,32.3502,-85.1999,Macs
101,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Mora,CM,63.16,broken clouds,11.0461,14.1401,Hotel Emergence
106,Nokaneng,BW,68.05,overcast clouds,-19.6667,22.2667,
107,Santo Tomas,PH,78.33,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
108,Mitzic,GA,70.74,overcast clouds,0.7821,11.549,Motel Emys
109,Guapo,BR,75.58,heavy intensity rain,-16.8306,-49.5319,Lar de idosos de Guapó
111,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
112,Kisesa,TZ,63.72,moderate rain,-3.0833,34.15,
113,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
117,Huarmey,PE,71.69,overcast clouds,-10.0681,-78.1522,Hotel Miramar
119,San Antonio,US,72.05,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
124,Sao Filipe,CV,71.51,overcast clouds,14.8961,-24.4956,Hotel Xaguate
129,Sur,OM,70.83,clear sky,22.5667,59.5289,Sur Plaza Hotel
135,Mananara,MG,72.55,few clouds,-16.1667,49.7667,Chez Roger
136,Mar Del Plata,AR,66.87,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
137,San Policarpo,PH,77.47,broken clouds,12.1791,125.5072,Agapita M. Nicart
140,Inhambane,MZ,74.73,broken clouds,-23.865,35.3833,Oceano
141,Marsh Harbour,BS,63.25,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
143,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
145,Port Elizabeth,ZA,68.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
146,Hambantota,LK,75.76,few clouds,6.1241,81.1185,Bungalow 63
150,Matadi,CD,76.71,light rain,-5.8167,13.45,Hotel Vivi Palace
158,Taoudenni,ML,72.43,broken clouds,22.6783,-3.9836,
159,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
162,Calvillo,MX,79.74,scattered clouds,21.85,-102.7167,Hotel La Gloria de Calvillo
167,Port Blair,IN,71.37,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
168,San Quintin,MX,64.02,clear sky,30.4833,-115.95,Don Eddie's Landing
