City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.7506,-68.5145,-27.87,97,86,4.47,overcast clouds
1,Busselton,AU,-33.65,115.3333,64.09,61,92,17.98,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,72.48,58,46,1.7,scattered clouds
3,Kitimat,CA,54.0524,-128.6534,38.91,70,100,1.01,overcast clouds
4,Hilo,US,19.7297,-155.09,77.79,64,69,4.0,broken clouds
5,Barrow,US,71.2906,-156.7887,-15.09,100,83,9.19,broken clouds
6,Geraldton,AU,-28.7667,114.6,70.21,88,100,6.91,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,46.06,66,75,29.93,broken clouds
8,Shenzhen,CN,22.5455,114.0683,59.14,85,78,9.64,broken clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,92,92,7.83,overcast clouds
10,Kodiak,US,57.79,-152.4072,28.47,78,45,5.93,scattered clouds
11,Waipawa,NZ,-41.4122,175.5153,71.92,64,69,8.59,broken clouds
12,Revelstoke,CA,50.9832,-118.2023,30.22,93,100,4.61,snow
13,Bani,DO,18.2833,-70.3333,80.04,74,23,5.26,few clouds
14,Ponta Do Sol,PT,32.6667,-17.1,65.12,39,1,9.64,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,51.12,50,59,22.1,broken clouds
16,Skibbereen,IE,51.55,-9.2667,46.2,75,89,15.43,overcast clouds
17,Atuona,PF,-9.8,-139.0333,78.19,77,12,14.38,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,69.12,88,87,9.22,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds
20,Shaunavon,CA,49.6501,-108.4181,30.18,78,100,7.54,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,73.4,89,98,16.98,overcast clouds
22,Hermanus,ZA,-34.4187,19.2345,71.91,86,97,12.84,overcast clouds
23,Aguimes,ES,27.9054,-15.4461,59.63,72,5,2.3,haze
24,Avarua,CK,-21.2078,-159.775,71.65,94,75,6.91,heavy intensity rain
25,New Norfolk,AU,-42.7826,147.0587,72.66,49,3,2.62,clear sky
26,Puerto Ayora,EC,-0.7393,-90.3518,82.36,75,100,8.46,overcast clouds
27,Cherskiy,RU,68.75,161.3,-28.21,99,99,1.41,overcast clouds
28,Saint George,US,37.1041,-113.5841,64.87,16,0,0.0,clear sky
29,Albany,US,42.6001,-73.9662,17.46,45,15,4.21,few clouds
30,Hay River,CA,60.8156,-115.7999,-7.62,77,100,6.91,light snow
31,Fare,PF,-16.7,-151.0167,80.67,72,20,9.13,few clouds
32,Kapaa,US,22.0752,-159.319,81.12,83,10,1.01,clear sky
33,Williams Lake,CA,52.1415,-122.1445,31.23,77,100,2.24,overcast clouds
34,Namibe,AO,-15.1961,12.1522,73.11,70,100,5.86,overcast clouds
35,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,5.7,light snow
36,Saldanha,ZA,-33.0117,17.9442,65.39,92,71,6.58,broken clouds
37,Hervey Bay,AU,-25.2986,152.8535,87.04,73,17,7.07,few clouds
38,Nara,JP,34.6851,135.8049,36.64,72,21,2.59,few clouds
39,Mahon,ES,39.8885,4.2658,46.96,87,0,6.91,clear sky
40,Castro,BR,-24.7911,-50.0119,63.25,98,98,9.19,overcast clouds
41,Sobolevo,RU,54.4299,31.8996,29.7,97,99,5.1,overcast clouds
42,Rio Gallegos,AR,-51.6226,-69.2181,57.25,28,20,31.07,few clouds
43,Mnogovershinnyy,RU,53.9353,139.9242,1.9,96,100,6.24,light snow
44,Pauini,BR,-7.7136,-66.9764,74.41,93,55,2.37,broken clouds
